SalesID,OrderDate,CustomerID,ProductID,PromotionID,GeographyID,OrderQuantity,UnitPrice,DiscountAmount,CurrencyCode,LastModified
100000,2025-01-01,1,2003,2.0,100,1,29.0,1.45,CAD,2025-01-01 12:00:00
100001,2025-01-02,2,2004,2.0,101,2,39.0,3.9,USD,2025-01-02 12:00:00
100002,2025-01-03,3,2001,2.0,102,3,89.0,13.35,CAD,2025-01-03 12:00:00
100003,2025-01-04,4,2002,2.0,103,4,49.0,9.8,USD,2025-01-04 12:00:00
100004,2025-01-05,5,2001,2.0,200,5,89.0,22.25,CAD,2025-01-05 12:00:00
100005,2025-01-06,6,2004,2.0,201,1,39.0,1.95,USD,2025-01-06 12:00:00
100006,2025-01-07,7,1001,2.0,202,2,699.0,69.9,CAD,2025-01-07 12:00:00
100007,2025-01-08,8,1003,2.0,203,3,999.0,149.85,USD,2025-01-08 12:00:00
100008,2025-01-09,9,2004,2.0,100,4,39.0,7.8,CAD,2025-01-09 12:00:00
100009,2025-01-10,10,2004,2.0,101,5,39.0,9.75,USD,2025-01-10 12:00:00
100010,2025-01-11,1,1003,2.0,102,1,999.0,49.95,CAD,2025-01-11 12:00:00
100011,2025-01-12,2,1003,2.0,103,2,999.0,99.9,USD,2025-01-12 12:00:00
100012,2025-01-13,3,2001,2.0,200,3,89.0,13.35,CAD,2025-01-13 12:00:00
100013,2025-01-14,4,1002,2.0,201,4,449.0,89.8,USD,2025-01-14 12:00:00
100014,2025-01-15,5,2002,2.0,202,5,49.0,12.25,CAD,2025-01-15 12:00:00
100015,2025-01-16,6,1003,,203,1,999.0,0.0,USD,2025-01-16 12:00:00
100016,2025-01-17,7,1003,,100,2,999.0,0.0,CAD,2025-01-17 12:00:00
100017,2025-01-18,8,2001,,101,3,89.0,0.0,USD,2025-01-18 12:00:00
100018,2025-01-19,9,2001,,102,4,89.0,0.0,CAD,2025-01-19 12:00:00
100019,2025-01-20,10,1002,,103,5,449.0,0.0,USD,2025-01-20 12:00:00
100020,2025-01-21,1,2002,,200,1,49.0,0.0,CAD,2025-01-21 12:00:00
100021,2025-01-22,2,1003,,201,2,999.0,0.0,USD,2025-01-22 12:00:00
100022,2025-01-23,3,1002,,202,3,449.0,0.0,CAD,2025-01-23 12:00:00
100023,2025-01-24,4,2004,,203,4,39.0,0.0,USD,2025-01-24 12:00:00
100024,2025-01-25,5,2004,,100,5,39.0,0.0,CAD,2025-01-25 12:00:00
100025,2025-01-26,6,1004,,101,1,1299.0,0.0,USD,2025-01-26 12:00:00
100026,2025-01-27,7,1004,,102,2,1299.0,0.0,CAD,2025-01-27 12:00:00
100027,2025-01-28,8,1003,,103,3,999.0,0.0,USD,2025-01-28 12:00:00
100028,2025-01-01,9,2003,2.0,200,4,29.0,5.8,CAD,2025-01-01 12:00:00
100029,2025-01-02,10,2004,2.0,201,5,39.0,9.75,USD,2025-01-02 12:00:00
100030,2025-01-03,1,1004,2.0,202,1,1299.0,64.95,CAD,2025-01-03 12:00:00
100031,2025-01-04,2,2001,2.0,203,2,89.0,8.9,USD,2025-01-04 12:00:00
100032,2025-01-05,3,2003,2.0,100,3,29.0,4.35,CAD,2025-01-05 12:00:00
100033,2025-01-06,4,2003,2.0,101,4,29.0,5.8,USD,2025-01-06 12:00:00
100034,2025-01-07,5,1004,2.0,102,5,1299.0,324.75,CAD,2025-01-07 12:00:00
100035,2025-01-08,6,1003,2.0,103,1,999.0,49.95,USD,2025-01-08 12:00:00
100036,2025-01-09,7,2001,2.0,200,2,89.0,8.9,CAD,2025-01-09 12:00:00
100037,2025-01-10,8,1003,2.0,201,3,999.0,149.85,USD,2025-01-10 12:00:00
100038,2025-01-11,9,2004,2.0,202,4,39.0,7.8,CAD,2025-01-11 12:00:00
100039,2025-01-12,10,1004,2.0,203,5,1299.0,324.75,USD,2025-01-12 12:00:00
